,workerid,id,response,sentence_a,sentence_b,shift_a,shift_b,slide_number_in_experiment
2,95,125,7.0,John cooked a celebratory feast of pie for his sick disabled mother at the care home.,John cooked his sick disabled mother at the care home a celebratory feast of pie.,0.0,1.0,5
3,95,371,7.0,Janet went in her small car with her favorite songs to the crowded folk music concert in downtown.,Janet went to the crowded folk music concert in downtown in her small car with her favorite songs.,0.0,1.0,6
4,95,494,7.0,John put on a waterproof rain jacket with a hood with fleece lining.,John put a waterproof rain jacket with a hood with fleece lining on.,0.0,1.0,7
5,95,152,1.0,John showed a new energetic danceable song from his favorite record label to his good friend.,John showed his good friend a new energetic danceable song from his favorite record label.,0.0,1.0,8
7,95,357,1.0,Janet argued about the disorganized catastrophic project for the analysis with her new assigned team for stock predictions in the finance branch.,Janet argued with her new assigned team for stock predictions in the finance branch about the disorganized catastrophic project for the analysis.,1.0,0.0,10
8,95,233,7.0,John showed his outfit to his older step sister in Arkansas.,John showed his older step sister in Arkansas his outfit.,1.0,0.0,11
9,95,260,1.0,Janet went to the old shopping mall with fast food with her annoying younger brother with the red hat.,Janet went with her annoying younger brother with the red hat to the old shopping mall with fast food.,1.0,0.0,12
10,95,132,1.0,John drafted a serious long written letter for the financial account for the house for his family in the plains.,John drafted his family in the plains a serious long written letter for the financial account for the house.,1.0,0.0,13
12,95,387,7.0,John gave up his shameful secret in his marriage.,John gave his shameful secret in his marriage up.,0.0,1.0,15
13,95,115,1.0,Melissa enjoyed at the college courses under the famous professor.,Melissa enjoyed courses under the famous professor at the college.,0.0,1.0,16
14,95,291,1.0,Janet went to the nearby old shopping mall with a food court with her good friend Emily and her friends from class.,Janet went with her good friend Emily and her friends from class to the nearby old shopping mall with a food court.,0.0,1.0,17
15,95,16,1.0,Melissa made in her kitchen a sponge cake.,Melissa made a sponge cake in her kitchen.,0.0,1.0,18
17,95,492,7.0,John called off the collaborative group meeting for the team for the past week.,John called the collaborative group meeting for the team for the past week off.,1.0,0.0,20
18,95,171,1.0,John showed his expensive handmade silk outfit for the gala for the evening to his trusted longtime friend with an art history degree.,John showed his trusted longtime friend with an art history degree his expensive handmade silk outfit for the gala for the evening.,1.0,0.0,21
19,95,240,1.0,John made a feast of pie for Mary.,John made Mary a feast of pie.,1.0,0.0,22
20,95,109,1.0,Melissa met in the store the mysterious man with the axe.,Melissa met the mysterious man with the axe in the store.,1.0,0.0,23
22,95,153,1.0,John showed the tall church building with the dome from Italy to his sister.,John showed his sister the tall church building with the dome from Italy.,0.0,1.0,25
23,95,341,7.0,Janet negotiatied about a generous annual raise for the budget during the complaints meeting about company funding for organized projects.,Janet negotiatied during the complaints meeting about company funding for organized projects about a generous annual raise for the budget.,0.0,1.0,26
24,95,383,7.0,John put out the massive red fire in the living room.,John put the massive red fire in the living room out.,0.0,1.0,27
25,95,472,7.0,John made up the recipe without eggs.,John made the recipe without eggs up.,0.0,1.0,28
29,120,472,7.0,John made up the recipe without eggs.,John made the recipe without eggs up.,0.0,1.0,5
30,120,260,7.0,Janet went to the old shopping mall with fast food with her annoying younger brother with the red hat.,Janet went with her annoying younger brother with the red hat to the old shopping mall with fast food.,0.0,1.0,6
31,120,371,5.0,Janet went in her small car with her favorite songs to the crowded folk music concert in downtown.,Janet went to the crowded folk music concert in downtown in her small car with her favorite songs.,0.0,1.0,7
32,120,387,7.0,John gave up his shameful secret in his marriage.,John gave his shameful secret in his marriage up.,0.0,1.0,8
34,120,494,7.0,John put on a waterproof rain jacket with a hood with fleece lining.,John put a waterproof rain jacket with a hood with fleece lining on.,1.0,0.0,10
35,120,492,3.0,John called off the collaborative group meeting for the team for the past week.,John called the collaborative group meeting for the team for the past week off.,1.0,0.0,11
36,120,115,2.0,Melissa enjoyed at the college courses under the famous professor.,Melissa enjoyed courses under the famous professor at the college.,1.0,0.0,12
37,120,341,6.0,Janet negotiatied about a generous annual raise for the budget during the complaints meeting about company funding for organized projects.,Janet negotiatied during the complaints meeting about company funding for organized projects about a generous annual raise for the budget.,1.0,0.0,13
39,120,233,7.0,John showed his outfit to his older step sister in Arkansas.,John showed his older step sister in Arkansas his outfit.,0.0,1.0,15
40,120,291,6.0,Janet went to the nearby old shopping mall with a food court with her good friend Emily and her friends from class.,Janet went with her good friend Emily and her friends from class to the nearby old shopping mall with a food court.,0.0,1.0,16
41,120,383,6.0,John put out the massive red fire in the living room.,John put the massive red fire in the living room out.,0.0,1.0,17
42,120,132,5.0,John drafted a serious long written letter for the financial account for the house for his family in the plains.,John drafted his family in the plains a serious long written letter for the financial account for the house.,0.0,1.0,18
44,120,109,2.0,Melissa met in the store the mysterious man with the axe.,Melissa met the mysterious man with the axe in the store.,1.0,0.0,20
45,120,153,1.0,John showed the tall church building with the dome from Italy to his sister.,John showed his sister the tall church building with the dome from Italy.,1.0,0.0,21
46,120,357,2.0,Janet argued about the disorganized catastrophic project for the analysis with her new assigned team for stock predictions in the finance branch.,Janet argued with her new assigned team for stock predictions in the finance branch about the disorganized catastrophic project for the analysis.,1.0,0.0,22
47,120,240,2.0,John made a feast of pie for Mary.,John made Mary a feast of pie.,1.0,0.0,23
49,120,171,7.0,John showed his expensive handmade silk outfit for the gala for the evening to his trusted longtime friend with an art history degree.,John showed his trusted longtime friend with an art history degree his expensive handmade silk outfit for the gala for the evening.,0.0,1.0,25
50,120,125,7.0,John cooked a celebratory feast of pie for his sick disabled mother at the care home.,John cooked his sick disabled mother at the care home a celebratory feast of pie.,0.0,1.0,26
51,120,152,4.0,John showed a new energetic danceable song from his favorite record label to his good friend.,John showed his good friend a new energetic danceable song from his favorite record label.,0.0,1.0,27
52,120,16,1.0,Melissa made in her kitchen a sponge cake.,Melissa made a sponge cake in her kitchen.,0.0,1.0,28
56,45,171,5.0,John showed his expensive handmade silk outfit for the gala for the evening to his trusted longtime friend with an art history degree.,John showed his trusted longtime friend with an art history degree his expensive handmade silk outfit for the gala for the evening.,0.0,1.0,5
57,45,387,1.0,John gave up his shameful secret in his marriage.,John gave his shameful secret in his marriage up.,0.0,1.0,6
58,45,291,4.0,Janet went to the nearby old shopping mall with a food court with her good friend Emily and her friends from class.,Janet went with her good friend Emily and her friends from class to the nearby old shopping mall with a food court.,0.0,1.0,7
59,45,383,6.0,John put out the massive red fire in the living room.,John put the massive red fire in the living room out.,0.0,1.0,8
61,45,109,1.0,Melissa met in the store the mysterious man with the axe.,Melissa met the mysterious man with the axe in the store.,1.0,0.0,10
62,45,260,2.0,Janet went to the old shopping mall with fast food with her annoying younger brother with the red hat.,Janet went with her annoying younger brother with the red hat to the old shopping mall with fast food.,1.0,0.0,11
63,45,233,6.0,John showed his outfit to his older step sister in Arkansas.,John showed his older step sister in Arkansas his outfit.,1.0,0.0,12
64,45,125,6.0,John cooked a celebratory feast of pie for his sick disabled mother at the care home.,John cooked his sick disabled mother at the care home a celebratory feast of pie.,1.0,0.0,13
66,45,16,1.0,Melissa made in her kitchen a sponge cake.,Melissa made a sponge cake in her kitchen.,0.0,1.0,15
67,45,472,7.0,John made up the recipe without eggs.,John made the recipe without eggs up.,0.0,1.0,16
68,45,357,7.0,Janet argued about the disorganized catastrophic project for the analysis with her new assigned team for stock predictions in the finance branch.,Janet argued with her new assigned team for stock predictions in the finance branch about the disorganized catastrophic project for the analysis.,0.0,1.0,17
69,45,153,6.0,John showed the tall church building with the dome from Italy to his sister.,John showed his sister the tall church building with the dome from Italy.,0.0,1.0,18
71,45,152,3.0,John showed a new energetic danceable song from his favorite record label to his good friend.,John showed his good friend a new energetic danceable song from his favorite record label.,1.0,0.0,20
72,45,341,5.0,Janet negotiatied about a generous annual raise for the budget during the complaints meeting about company funding for organized projects.,Janet negotiatied during the complaints meeting about company funding for organized projects about a generous annual raise for the budget.,1.0,0.0,21
73,45,371,3.0,Janet went in her small car with her favorite songs to the crowded folk music concert in downtown.,Janet went to the crowded folk music concert in downtown in her small car with her favorite songs.,1.0,0.0,22
74,45,492,7.0,John called off the collaborative group meeting for the team for the past week.,John called the collaborative group meeting for the team for the past week off.,1.0,0.0,23
76,45,240,4.0,John made a feast of pie for Mary.,John made Mary a feast of pie.,0.0,1.0,25
77,45,132,6.0,John drafted a serious long written letter for the financial account for the house for his family in the plains.,John drafted his family in the plains a serious long written letter for the financial account for the house.,0.0,1.0,26
78,45,115,1.0,Melissa enjoyed at the college courses under the famous professor.,Melissa enjoyed courses under the famous professor at the college.,0.0,1.0,27
79,45,494,7.0,John put on a waterproof rain jacket with a hood with fleece lining.,John put a waterproof rain jacket with a hood with fleece lining on.,0.0,1.0,28
83,145,472,7.0,John made up the recipe without eggs.,John made the recipe without eggs up.,0.0,1.0,5
84,145,115,4.0,Melissa enjoyed at the college courses under the famous professor.,Melissa enjoyed courses under the famous professor at the college.,0.0,1.0,6
85,145,16,1.0,Melissa made in her kitchen a sponge cake.,Melissa made a sponge cake in her kitchen.,0.0,1.0,7
86,145,132,7.0,John drafted a serious long written letter for the financial account for the house for his family in the plains.,John drafted his family in the plains a serious long written letter for the financial account for the house.,0.0,1.0,8
88,145,152,1.0,John showed a new energetic danceable song from his favorite record label to his good friend.,John showed his good friend a new energetic danceable song from his favorite record label.,1.0,0.0,10
89,145,291,1.0,Janet went to the nearby old shopping mall with a food court with her good friend Emily and her friends from class.,Janet went with her good friend Emily and her friends from class to the nearby old shopping mall with a food court.,1.0,0.0,11
90,145,260,7.0,Janet went to the old shopping mall with fast food with her annoying younger brother with the red hat.,Janet went with her annoying younger brother with the red hat to the old shopping mall with fast food.,1.0,0.0,12
91,145,153,1.0,John showed the tall church building with the dome from Italy to his sister.,John showed his sister the tall church building with the dome from Italy.,1.0,0.0,13
93,145,387,7.0,John gave up his shameful secret in his marriage.,John gave his shameful secret in his marriage up.,0.0,1.0,15
94,145,109,1.0,Melissa met in the store the mysterious man with the axe.,Melissa met the mysterious man with the axe in the store.,0.0,1.0,16
95,145,233,7.0,John showed his outfit to his older step sister in Arkansas.,John showed his older step sister in Arkansas his outfit.,0.0,1.0,17
96,145,383,7.0,John put out the massive red fire in the living room.,John put the massive red fire in the living room out.,0.0,1.0,18
98,145,125,1.0,John cooked a celebratory feast of pie for his sick disabled mother at the care home.,John cooked his sick disabled mother at the care home a celebratory feast of pie.,1.0,0.0,20
99,145,341,4.0,Janet negotiatied about a generous annual raise for the budget during the complaints meeting about company funding for organized projects.,Janet negotiatied during the complaints meeting about company funding for organized projects about a generous annual raise for the budget.,1.0,0.0,21
100,145,371,1.0,Janet went in her small car with her favorite songs to the crowded folk music concert in downtown.,Janet went to the crowded folk music concert in downtown in her small car with her favorite songs.,1.0,0.0,22
101,145,357,7.0,Janet argued about the disorganized catastrophic project for the analysis with her new assigned team for stock predictions in the finance branch.,Janet argued with her new assigned team for stock predictions in the finance branch about the disorganized catastrophic project for the analysis.,1.0,0.0,23
103,145,494,7.0,John put on a waterproof rain jacket with a hood with fleece lining.,John put a waterproof rain jacket with a hood with fleece lining on.,0.0,1.0,25
104,145,492,4.0,John called off the collaborative group meeting for the team for the past week.,John called the collaborative group meeting for the team for the past week off.,0.0,1.0,26
105,145,171,1.0,John showed his expensive handmade silk outfit for the gala for the evening to his trusted longtime friend with an art history degree.,John showed his trusted longtime friend with an art history degree his expensive handmade silk outfit for the gala for the evening.,0.0,1.0,27
106,145,240,1.0,John made a feast of pie for Mary.,John made Mary a feast of pie.,0.0,1.0,28
110,70,383,6.0,John put out the massive red fire in the living room.,John put the massive red fire in the living room out.,0.0,1.0,5
111,70,341,7.0,Janet negotiatied about a generous annual raise for the budget during the complaints meeting about company funding for organized projects.,Janet negotiatied during the complaints meeting about company funding for organized projects about a generous annual raise for the budget.,0.0,1.0,6
112,70,16,1.0,Melissa made in her kitchen a sponge cake.,Melissa made a sponge cake in her kitchen.,0.0,1.0,7
113,70,260,3.0,Janet went to the old shopping mall with fast food with her annoying younger brother with the red hat.,Janet went with her annoying younger brother with the red hat to the old shopping mall with fast food.,0.0,1.0,8
115,70,152,1.0,John showed a new energetic danceable song from his favorite record label to his good friend.,John showed his good friend a new energetic danceable song from his favorite record label.,1.0,0.0,10
116,70,132,3.0,John drafted a serious long written letter for the financial account for the house for his family in the plains.,John drafted his family in the plains a serious long written letter for the financial account for the house.,1.0,0.0,11
117,70,472,7.0,John made up the recipe without eggs.,John made the recipe without eggs up.,1.0,0.0,12
118,70,494,3.0,John put on a waterproof rain jacket with a hood with fleece lining.,John put a waterproof rain jacket with a hood with fleece lining on.,1.0,0.0,13
120,70,109,1.0,Melissa met in the store the mysterious man with the axe.,Melissa met the mysterious man with the axe in the store.,0.0,1.0,15
121,70,233,7.0,John showed his outfit to his older step sister in Arkansas.,John showed his older step sister in Arkansas his outfit.,0.0,1.0,16
122,70,125,7.0,John cooked a celebratory feast of pie for his sick disabled mother at the care home.,John cooked his sick disabled mother at the care home a celebratory feast of pie.,0.0,1.0,17
123,70,115,1.0,Melissa enjoyed at the college courses under the famous professor.,Melissa enjoyed courses under the famous professor at the college.,0.0,1.0,18
125,70,371,4.0,Janet went in her small car with her favorite songs to the crowded folk music concert in downtown.,Janet went to the crowded folk music concert in downtown in her small car with her favorite songs.,1.0,0.0,20
126,70,357,2.0,Janet argued about the disorganized catastrophic project for the analysis with her new assigned team for stock predictions in the finance branch.,Janet argued with her new assigned team for stock predictions in the finance branch about the disorganized catastrophic project for the analysis.,1.0,0.0,21
127,70,387,6.0,John gave up his shameful secret in his marriage.,John gave his shameful secret in his marriage up.,1.0,0.0,22
128,70,240,1.0,John made a feast of pie for Mary.,John made Mary a feast of pie.,1.0,0.0,23
130,70,492,7.0,John called off the collaborative group meeting for the team for the past week.,John called the collaborative group meeting for the team for the past week off.,0.0,1.0,25
131,70,291,7.0,Janet went to the nearby old shopping mall with a food court with her good friend Emily and her friends from class.,Janet went with her good friend Emily and her friends from class to the nearby old shopping mall with a food court.,0.0,1.0,26
132,70,171,7.0,John showed his expensive handmade silk outfit for the gala for the evening to his trusted longtime friend with an art history degree.,John showed his trusted longtime friend with an art history degree his expensive handmade silk outfit for the gala for the evening.,0.0,1.0,27
