workerid,proliferate.condition,attention,comments,id,response,sentence_a,sentence_b,shift_a,shift_b,slide_number_in_experiment,error
95,Group 9,,,example1,1,,,,,2,
95,Group 9,,,example2,7,,,,,3,
95,Group 9,,,125,7,John cooked a celebratory feast of pie for his sick disabled mother at the care home.,John cooked his sick disabled mother at the care home a celebratory feast of pie.,0,1,5,
95,Group 9,,,371,7,Janet went in her small car with her favorite songs to the crowded folk music concert in downtown.,Janet went to the crowded folk music concert in downtown in her small car with her favorite songs.,0,1,6,
95,Group 9,,,494,7,John put on a waterproof rain jacket with a hood with fleece lining.,John put a waterproof rain jacket with a hood with fleece lining on.,0,1,7,
95,Group 9,,,152,1,John showed a new energetic danceable song from his favorite record label to his good friend.,John showed his good friend a new energetic danceable song from his favorite record label.,0,1,8,
95,Group 9,0,,attention,,,,,,9,
95,Group 9,,,357,7,Janet argued about the disorganized catastrophic project for the analysis with her new assigned team for stock predictions in the finance branch.,Janet argued with her new assigned team for stock predictions in the finance branch about the disorganized catastrophic project for the analysis.,1,0,10,
95,Group 9,,,233,1,John showed his outfit to his older step sister in Arkansas.,John showed his older step sister in Arkansas his outfit.,1,0,11,
95,Group 9,,,260,7,Janet went to the old shopping mall with fast food with her annoying younger brother with the red hat.,Janet went with her annoying younger brother with the red hat to the old shopping mall with fast food.,1,0,12,
95,Group 9,,,132,7,John drafted a serious long written letter for the financial account for the house for his family in the plains.,John drafted his family in the plains a serious long written letter for the financial account for the house.,1,0,13,
95,Group 9,0,,attention,,,,,,14,
95,Group 9,,,387,7,John gave up his shameful secret in his marriage.,John gave his shameful secret in his marriage up.,0,1,15,
95,Group 9,,,115,1,Melissa enjoyed at the college courses under the famous professor.,Melissa enjoyed courses under the famous professor at the college.,0,1,16,
95,Group 9,,,291,1,Janet went to the nearby old shopping mall with a food court with her good friend Emily and her friends from class.,Janet went with her good friend Emily and her friends from class to the nearby old shopping mall with a food court.,0,1,17,
95,Group 9,,,16,1,Melissa made in her kitchen a sponge cake.,Melissa made a sponge cake in her kitchen.,0,1,18,
